gen,n_front,hv,f1_min,f2_min,budget,masta,cache_hit,geom_out,edge,t_s
1,1,2455.7602,21.916,114.2026,224,20,0,205,0,6.7
2,1,2455.7602,21.916,114.2026,448,36,0,413,0,12.1
3,1,2455.7602,21.916,114.2026,672,68,0,605,0,23.4
4,2,2464.8793,21.916,113.31,896,124,0,773,0,42.1
5,2,2857.6873,19.3766,111.1815,1120,239,0,882,0,80.8
6,3,2923.9305,19.3766,107.5022,1344,443,1,901,0,147.5
7,3,2940.7197,19.261,107.5022,1568,651,5,913,0,211.7
8,2,3154.8527,17.788,107.5022,1792,859,7,927,0,273.9
9,2,3154.8527,17.788,107.5022,2016,1060,8,949,0,332.7
10,2,3154.8527,17.788,107.5022,2240,1271,9,961,0,394.7
11,2,3154.8527,17.788,107.5022,2464,1474,10,981,0,456.5
12,2,3154.8527,17.788,107.5022,2688,1677,11,1001,0,518.5
13,2,3221.0872,17.3712,107.5022,2912,1881,13,1019,0,580.9
14,3,3222.3019,17.3712,107.5022,3136,2090,16,1031,0,645.3
15,3,3222.3019,17.3712,107.5022,3360,2298,16,1047,0,708.7
16,3,3222.3019,17.3712,107.5022,3584,2504,17,1064,0,772.3
17,3,3222.3019,17.3712,107.5022,3808,2714,18,1077,0,836.5
18,3,3222.3019,17.3712,107.5022,4032,2928,18,1087,0,902.2
19,4,3222.3076,17.3712,107.5022,4256,3132,22,1103,0,964.9
20,4,3233.4349,17.3712,106.7934,4480,3341,23,1117,0,1028.8
21,4,3233.4349,17.3712,106.7934,4704,3547,24,1134,1,1092.3
22,4,3233.4349,17.3712,106.7934,4928,3750,26,1153,1,1155.8
23,4,3233.4349,17.3712,106.7934,5152,3961,28,1164,1,1221.4
24,4,3234.066,17.3712,106.7934,5376,4161,32,1184,1,1283.7
25,4,3235.1111,17.3712,106.7934,5600,4360,35,1206,1,1344.8
26,5,3235.1401,17.3712,106.7934,5824,4567,35,1223,1,1409.1
27,5,3235.1401,17.3712,106.7934,6048,4768,36,1245,1,1471.9
28,6,3235.1401,17.3712,106.7934,6272,4969,41,1263,1,1534.5
29,7,3236.2002,17.3712,106.7934,6496,5169,43,1285,1,1596.9
30,7,3243.677,17.3201,106.7934,6720,5370,48,1303,1,1660.2
31,7,3243.677,17.3201,106.7934,6944,5573,51,1321,1,1724.3
32,8,3244.8919,17.3151,106.7934,7168,5772,54,1343,1,1787.0
33,9,3245.0127,17.3151,106.7934,7392,5968,55,1370,1,1848.4
34,9,3245.0127,17.3151,106.7934,7616,6167,59,1391,1,1911.7
35,9,3245.0127,17.3151,106.7934,7840,6358,65,1418,1,1972.6
36,8,3280.7995,17.0676,106.7934,8064,6560,67,1438,1,2036.3
37,8,3280.7995,17.0676,106.7934,8288,6763,73,1453,1,2100.0
38,8,3280.7995,17.0676,106.7934,8512,6957,73,1483,1,2162.0
39,9,3280.9382,17.0676,106.7934,8736,7148,77,1512,1,2221.5
40,9,3280.9382,17.0676,106.7934,8960,7341,81,1539,1,2281.6
