subset,rank,mass_brg_t,mass_shaft_t,mass_total_t,rank_total,sigma_margin,n_slice,excluded,on_current_front,key,z1,z2,D_pw_mm,alpha,D_we_mm,L_w_mm,slenderness,Z,bore_mm,D_mm,T_mm,B_mm,C_mm,L_eff_m,mass_brg_kg,mass_shaft_kg,mass_total_kg,sigma_max_MPa,feasible,warn,t_s,L_we_mm,taper_2beta_deg,cone_angle_deg
z1>=1.0,1,17.0021,73.528,107.5322,19,0.7,4752,0,1,1.00_6.00_4495.0_15_185.40_362.40,1.0,6.0,4495.0,15.0,185.4,362.4,1.9547,70,4079.0,4900.0,472.0,457.0,385.0,6.17992,17002.1,73528.0,107532.2,2099.3,1,,0.3,353.8,1.1763,13.8237
z1>=1.0,2,17.0034,73.2771,107.2839,16,0.6,4752,0,1,1.00_6.00_4494.0_15_180.20_364.40,1.0,6.0,4494.0,15.0,180.2,364.4,2.0222,72,4082.0,4896.0,475.0,459.0,387.0,6.18054,17003.4,73277.1,107284.0,2099.4,1,,0.31,355.8,1.1448,13.8552
z1>=1.0,3,19.1575,68.4623,106.7773,12,0.2,3817,0,1,1.00_5.50_4492.0_20_177.60_376.50,1.0,5.5,4492.0,20.0,177.6,376.5,2.1199,73,4048.0,4925.0,490.0,474.0,400.0,6.11193,19157.5,68462.3,106777.4,2099.8,1,,0.3,367.9,1.4938,18.5062
z1>=1.0,4,19.158,68.3556,106.6716,10,0.6,3817,0,1,1.00_5.50_4499.0_19_177.80_378.80,1.0,5.5,4499.0,19.0,177.8,378.8,2.1305,73,4058.0,4929.0,493.0,477.0,403.0,6.02598,19158.0,68355.6,106671.6,2099.4,1,,0.31,370.2,1.4211,17.5789
z1>=1.0,5,19.1905,68.0918,106.4728,9,0.8,3817,0,1,1.00_5.50_4500.0_19_177.80_379.20,1.0,5.5,4500.0,19.0,177.8,379.2,2.1327,73,4059.0,4930.0,494.0,478.0,403.0,6.02632,19190.5,68091.8,106472.8,2099.2,1,,0.31,370.6,1.4208,17.5792
z1>=1.0,6,19.6142,67.9655,107.1939,14,3.4,3817,0,0,1.00_5.50_4495.0_16_166.30_398.70,1.0,5.5,4495.0,16.0,166.3,398.7,2.3975,78,4068.0,4911.0,519.0,502.0,424.0,5.76614,19614.2,67965.5,107194.0,2096.6,1,,0.32,390.1,1.1283,14.8717
z1>=1.0,7,19.6169,67.9483,107.1821,13,1.8,3817,0,0,1.00_5.50_4500.0_15_179.30_397.40,1.0,5.5,4500.0,15.0,179.3,397.4,2.2164,72,4067.0,4921.0,518.0,501.0,422.0,5.68313,19616.9,67948.3,107182.2,2098.2,1,,0.31,388.8,1.1378,13.8622
z1>=1.0,8,21.5079,63.6817,106.6975,11,1.3,1623,0,0,1.00_5.00_4495.0_29_193.90_375.60,1.0,5.0,4495.0,29.0,193.9,375.6,1.9371,67,3995.0,4984.0,489.0,473.0,399.0,6.4706,21507.9,63681.7,106697.4,2098.7,1,,0.3,367.0,2.3086,26.6914
z1>=1.0,9,21.5104,63.3717,106.3925,7,0.8,1623,0,1,1.00_5.00_4499.0_27_190.60_380.40,1.0,5.0,4499.0,27.0,190.6,380.4,1.9958,68,4007.0,4981.0,495.0,479.0,404.0,6.27084,21510.4,63371.7,106392.5,2099.2,1,,0.3,371.8,2.1232,24.8768
z1>=1.0,10,21.5778,63.2966,106.4522,8,0.4,1623,0,0,1.00_5.00_4495.0_27_166.30_387.40,1.0,5.0,4495.0,27.0,166.3,387.4,2.3295,78,4018.0,4961.0,504.0,488.0,412.0,6.26787,21577.8,63296.6,106452.3,2099.6,1,,0.37,378.8,1.8629,25.1371
z1>=1.0,11,21.5934,63.1067,106.2935,6,0.4,1623,0,1,1.00_5.00_4499.0_27_166.30_387.40,1.0,5.0,4499.0,27.0,166.3,387.4,2.3295,78,4022.0,4965.0,504.0,488.0,412.0,6.2699,21593.4,63106.7,106293.5,2099.6,1,,0.33,378.8,1.8613,25.1387
z1>=1.0,12,22.396,63.029,107.821,20,1.2,1623,0,0,1.00_5.00_4499.0_18_181.10_417.60,1.0,5.0,4499.0,18.0,181.1,417.6,2.3059,71,4033.0,4953.0,544.0,526.0,444.0,5.44061,22396.0,63029.0,107821.0,2098.8,1,,0.31,409.0,1.3727,16.6273
z1>=1.0,13,22.5981,62.9646,108.1608,23,12.5,1623,0,0,1.00_5.00_4499.0_19_179.90_416.20,1.0,5.0,4499.0,19.0,179.9,416.2,2.3135,72,4029.0,4957.0,542.0,525.0,442.0,5.52703,22598.1,62964.6,108160.7,2087.5,1,,0.3,407.6,1.4373,17.5627
z1>=1.0,14,22.7567,62.8695,108.3829,24,2.9,1623,0,0,1.00_5.00_4496.0_15_179.60_433.80,1.0,5.0,4496.0,15.0,179.6,433.8,2.4154,72,4039.0,4940.0,565.0,547.0,461.0,5.18307,22756.7,62869.5,108382.9,2097.1,1,,0.33,425.2,1.1406,13.8594
z1>=1.0,15,23.8867,58.0622,105.8356,1,1.1,456,0,1,1.00_4.50_4499.0_28_180.20_404.00,1.0,4.5,4499.0,28.0,180.2,404.0,2.242,72,3991.0,4995.0,526.0,509.0,429.0,5.87138,23886.7,58062.2,105835.6,2098.9,1,,0.33,395.4,2.0806,25.9194
z1>=1.0,16,23.9496,58.0021,105.9013,2,0.1,456,0,0,1.00_4.50_4493.0_27_180.20_406.90,1.0,4.5,4493.0,27.0,180.2,406.9,2.258,72,3987.0,4987.0,530.0,513.0,432.0,5.76837,23949.6,58002.1,105901.3,2099.9,1,,0.31,398.3,2.014,24.986
z1>=1.0,17,24.0696,57.8924,106.0316,3,0.4,456,0,0,1.00_4.50_4499.0_26_180.20_410.00,1.0,4.5,4499.0,26.0,180.2,410.0,2.2752,72,3995.0,4991.0,534.0,517.0,436.0,5.67322,24069.6,57892.4,106031.7,2099.6,1,,0.3,401.4,1.9417,24.0583
z1>=1.0,18,24.1768,57.8775,106.2311,4,3.5,456,0,0,1.00_4.50_4499.0_26_180.50_411.00,1.0,4.5,4499.0,26.0,180.5,411.0,2.277,72,3994.0,4992.0,535.0,518.0,437.0,5.67323,24176.8,57877.5,106231.2,2096.5,1,,0.3,402.4,1.9448,24.0552
z1>=1.0,19,24.1969,57.8625,106.2563,5,4.2,456,0,0,1.00_4.50_4500.0_27_180.20_409.00,1.0,4.5,4500.0,27.0,180.2,409.0,2.2697,72,3993.0,4996.0,533.0,515.0,435.0,5.77293,24196.9,57862.5,106256.3,2095.8,1,,0.31,400.4,2.011,24.989
z1>=1.0,20,27.0841,53.0473,107.2155,15,2.6,49,0,0,1.00_4.00_4482.0_30_176.60_430.20,1.0,4.0,4482.0,30.0,176.6,430.2,2.436,73,3944.0,5007.0,560.0,542.0,457.0,5.56808,27084.1,53047.3,107215.6,2097.4,1,,0.33,421.6,2.1824,27.8176
z1>=1.0,21,27.2559,52.8991,107.4109,18,4.7,49,0,0,1.00_4.00_4487.0_30_176.60_431.30,1.0,4.0,4487.0,30.0,176.6,431.3,2.4422,73,3948.0,5013.0,562.0,544.0,458.0,5.57097,27255.9,52899.1,107410.9,2095.3,1,,0.3,422.7,2.1801,27.8199
z1>=1.0,22,27.6337,52.8193,108.0867,21,11.2,49,0,0,1.00_4.00_4496.0_29_177.30_436.30,1.0,4.0,4496.0,29.0,177.3,436.3,2.4608,73,3957.0,5022.0,568.0,550.0,464.0,5.47244,27633.7,52819.3,108086.8,2088.8,1,,0.31,427.7,2.1172,26.8828
z1>=1.0,23,27.6996,52.711,108.1102,22,0.5,49,0,0,1.00_4.00_4497.0_26_181.60_443.90,1.0,4.0,4497.0,26.0,181.6,443.9,2.4444,71,3964.0,5017.0,578.0,559.0,472.0,5.1743,27699.6,52711.0,108110.2,2099.5,1,,0.32,435.3,1.957,24.043
z1>=1.0,24,28.1454,52.5198,108.8106,25,3.9,49,0,0,1.00_4.00_4497.0_24_185.20_452.40,1.0,4.0,4497.0,24.0,185.2,452.4,2.4428,70,3965.0,5016.0,589.0,570.0,481.0,4.98298,28145.4,52519.8,108810.7,2096.1,1,,0.33,443.8,1.8495,22.1505
z1>=1.0,25,30.0509,47.1853,107.2871,17,0.1,11,0,0,1.00_3.50_4497.0_30_185.20_452.40,1.0,3.5,4497.0,30.0,185.2,452.4,2.4428,70,3932.0,5049.0,589.0,570.0,481.0,5.07811,30050.9,47185.3,107287.0,2099.9,1,,0.29,443.8,2.2776,27.7224
z1>=1.0,26,41.4295,44.3116,127.1706,,32.9,2,1,0,1.00_3.00_4391.0_29_223.60_540.40,1.0,3.0,4391.0,29.0,223.6,540.4,2.4168,56,3720.0,5046.0,704.0,681.0,574.0,4.42153,41429.5,44311.6,127170.5,2067.1,1,,0.3,531.8,2.7071,26.2929
z1>=1.0,27,42.5598,43.6634,128.783,,52.3,2,1,0,1.00_3.00_4438.0_29_221.30_545.90,1.0,3.0,4438.0,29.0,221.3,545.9,2.4668,57,3764.0,5096.0,711.0,688.0,580.0,4.4474,42559.8,43663.4,128782.9,2047.7,1,,0.27,537.3,2.6533,26.3467
z1>=1.5,1,19.8808,74.5459,114.3075,9,3.1,696,0,1,1.50_6.00_4499.0_20_197.00_377.60,1.5,6.0,4499.0,20.0,197.0,377.6,1.9168,66,4036.0,4951.0,492.0,476.0,401.0,6.11503,19880.8,74545.9,114307.6,2096.9,1,,0.29,369.0,1.648,18.352
z1>=1.5,2,19.974,74.3193,114.2673,8,1.2,696,0,1,1.50_6.00_4497.0_18_196.10_385.20,1.5,6.0,4497.0,18.0,196.1,385.2,1.9643,66,4040.0,4943.0,502.0,485.0,409.0,5.93935,19974.0,74319.3,114267.4,2098.8,1,,0.3,376.6,1.4825,16.5175
z1>=1.5,3,20.0015,74.2624,114.2654,7,3.3,696,0,1,1.50_6.00_4495.0_18_196.80_384.80,1.5,6.0,4495.0,18.0,196.8,384.8,1.9553,66,4037.0,4942.0,501.0,485.0,409.0,5.93772,20001.5,74262.4,114265.4,2096.7,1,,0.28,376.2,1.4882,16.5118
z1>=1.5,4,20.0273,73.9955,114.0501,3,2.1,696,0,1,1.50_6.00_4495.0_19_166.30_393.10,1.5,6.0,4495.0,19.0,166.3,393.1,2.3638,78,4055.0,4924.0,512.0,495.0,418.0,6.02532,20027.3,73995.5,114050.1,2097.9,1,,0.31,384.5,1.3334,17.6666
z1>=1.5,5,20.077,73.9767,114.1307,4,3.2,696,0,0,1.50_6.00_4500.0_15_193.90_396.70,1.5,6.0,4500.0,15.0,193.9,396.7,2.0459,67,4054.0,4935.0,517.0,500.0,422.0,5.68344,20077.0,73976.7,114130.7,2096.8,1,,0.29,388.1,1.2268,13.7732
z1>=1.5,6,20.1956,73.9203,114.3115,10,6.1,696,0,0,1.50_6.00_4499.0_17_185.20_394.40,1.5,6.0,4499.0,17.0,185.2,394.4,2.1296,70,4051.0,4936.0,514.0,497.0,419.0,5.85324,20195.6,73920.3,114311.5,2093.9,1,,0.3,385.8,1.3268,15.6732
z1>=1.5,7,22.1447,69.2395,113.5289,2,1.0,341,0,1,1.50_5.50_4499.0_26_177.80_392.20,1.5,5.5,4499.0,26.0,177.8,392.2,2.2058,73,4013.0,4974.0,511.0,494.0,417.0,6.17313,22144.7,69239.5,113528.9,2099.0,1,,0.3,383.6,1.9167,24.0833
z1>=1.5,8,22.1872,69.1328,113.5072,1,0.7,341,0,1,1.50_5.50_4496.0_28_173.20_389.50,1.5,5.5,4496.0,28.0,173.2,389.5,2.2488,75,4007.0,4974.0,507.0,491.0,414.0,6.36851,22187.2,69132.8,113507.2,2099.3,1,,0.35,380.9,2.0038,25.9962
z1>=1.5,9,22.5841,69.0508,114.219,6,8.0,341,0,0,1.50_5.50_4498.0_22_180.40_406.40,1.5,5.5,4498.0,22.0,180.4,406.4,2.2528,72,4018.0,4966.0,529.0,512.0,432.0,5.79564,22584.1,69050.8,114218.9,2092.0,1,,0.29,397.8,1.6596,20.3404
z1>=1.5,10,22.7727,68.8437,114.3891,12,2.3,341,0,0,1.50_5.50_4492.0_19_177.60_419.00,1.5,5.5,4492.0,19.0,177.6,419.0,2.3592,73,4022.0,4950.0,546.0,528.0,445.0,5.52557,22772.7,68843.7,114389.0,2097.7,1,,0.29,410.4,1.4217,17.5783
z1>=1.5,11,24.8811,64.5569,114.3191,11,1.2,140,0,0,1.50_5.00_4484.0_28_195.80_409.90,1.5,5.0,4484.0,28.0,195.8,409.9,2.0935,66,3957.0,4999.0,534.0,517.0,436.0,5.86408,24881.1,64556.9,114319.2,2098.8,1,,0.32,401.3,2.2612,25.7388
