rank,mass_brg_t,mass_total_t,z1,z2,D_pw_mm,alpha,D_we_mm,L_we_mm,u,slenderness,Z,sigma_max_MPa,bore_mm,D_mm,T_mm,B_mm,C_mm,L_eff_m,key,L_w_mm,mass_brg_kg,mass_shaft_kg,mass_total_kg,feasible,warn,t_s,taper_2beta_deg,cone_angle_deg
1,17.0021,107.5322,1.0,6.0,4495.0,15.0,185.4,362.4,4546,1.9547,70,2099.3,4079.0,4900.0,472.0,457.0,385.0,6.17992,1.00_6.00_4495.0_15_185.40_362.40,362.4,17002.1,73528.0,107532.2,1,,0.3,1.1763,13.8237
2,17.0034,107.284,1.0,6.0,4494.0,15.0,180.2,364.4,5222,2.0222,72,2099.4,4082.0,4896.0,475.0,459.0,387.0,6.18054,1.00_6.00_4494.0_15_180.20_364.40,364.4,17003.4,73277.1,107284.0,1,,0.31,1.1448,13.8552
3,17.0034,107.284,1.0,6.0,4494.0,15.0,180.2,364.4,5222,2.0222,72,2099.4,4082.0,4896.0,475.0,459.0,387.0,6.18054,1.00_6.00_4494.0_15_180.20_364.40,364.4,17003.4,73277.1,107284.0,1,,0.31,1.1448,13.8552
4,19.1575,106.7774,1.0,5.5,4492.0,20.0,177.6,376.5,6198,2.1199,73,2099.8,4048.0,4925.0,490.0,474.0,400.0,6.11193,1.00_5.50_4492.0_20_177.60_376.50,376.5,19157.5,68462.3,106777.4,1,,0.3,1.4938,18.5062
5,19.158,106.6716,1.0,5.5,4499.0,19.0,177.8,378.8,6305,2.1305,73,2099.4,4058.0,4929.0,493.0,477.0,403.0,6.02598,1.00_5.50_4499.0_19_177.80_378.80,378.8,19158.0,68355.6,106671.6,1,,0.31,1.4211,17.5789
6,19.158,106.6716,1.0,5.5,4499.0,19.0,177.8,378.8,6305,2.1305,73,2099.4,4058.0,4929.0,493.0,477.0,403.0,6.02598,1.00_5.50_4499.0_19_177.80_378.80,378.8,19158.0,68355.6,106671.6,1,,0.31,1.4211,17.5789
7,19.158,106.6716,1.0,5.5,4499.0,19.0,177.8,378.8,6305,2.1305,73,2099.4,4058.0,4929.0,493.0,477.0,403.0,6.02598,1.00_5.50_4499.0_19_177.80_378.80,378.8,19158.0,68355.6,106671.6,1,,0.31,1.4211,17.5789
8,19.1905,106.4728,1.0,5.5,4500.0,19.0,177.8,379.2,6326,2.1327,73,2099.2,4059.0,4930.0,494.0,478.0,403.0,6.02632,1.00_5.50_4500.0_19_177.80_379.20,379.2,19190.5,68091.8,106472.8,1,,0.31,1.4208,17.5792
9,19.1905,106.4728,1.0,5.5,4500.0,19.0,177.8,379.2,6328,2.1327,73,2099.2,4059.0,4930.0,494.0,478.0,403.0,6.02632,1.00_5.50_4500.0_19_177.80_379.20,379.2,19190.5,68091.8,106472.8,1,,0.31,1.4208,17.5792
10,21.5104,106.3925,1.0,5.0,4499.0,27.0,190.6,380.4,4956,1.9958,68,2099.2,4007.0,4981.0,495.0,479.0,404.0,6.27084,1.00_5.00_4499.0_27_190.60_380.40,380.4,21510.4,63371.7,106392.5,1,,0.3,2.1232,24.8768
11,21.5934,106.2935,1.0,5.0,4499.0,27.0,166.3,387.4,8299,2.3295,78,2099.6,4022.0,4965.0,504.0,488.0,412.0,6.2699,1.00_5.00_4499.0_27_166.30_387.40,387.4,21593.4,63106.7,106293.5,1,,0.33,1.8613,25.1387
12,23.8867,105.8356,1.0,4.5,4499.0,28.0,180.2,404.0,7419,2.242,72,2098.9,3991.0,4995.0,526.0,509.0,429.0,5.87138,1.00_4.50_4499.0_28_180.20_404.00,404.0,23886.7,58062.2,105835.6,1,,0.33,2.0806,25.9194
