rank,key,z1,z2,D_pw_mm,alpha,D_we_mm,L_w_mm,slenderness,Z,bore_mm,D_mm,T_mm,B_mm,C_mm,L_eff_m,mass_brg_kg,mass_shaft_kg,mass_total_kg,sigma_max_MPa,feasible,warn,t_s,L_we_mm,taper_2beta_deg,cone_angle_deg,mass_brg_t,mass_shaft_t,mass_total_t,sigma_margin
1,1.00_6.00_3591.0_29_219.90_490.60,1.0,6.0,3591.0,29.0,219.9,490.6,2.231,47,2967.0,4201.0,639.0,618.0,521.0,6.97712,28398.7,113660.0,170457.5,2095.9,1,,0.25,482.0,3.227,25.773,28.3987,113.66,170.4574,4.1
2,1.00_6.00_3685.0_16_228.30_505.60,1.0,6.0,3685.0,16.0,228.3,505.6,2.2146,46,3127.0,4229.0,658.0,637.0,537.0,6.04,26305.1,104427.3,157037.5,2079.6,1,,0.24,497.0,1.8465,14.1535,26.3051,104.4273,157.0375,20.4
3,1.00_6.00_3768.0_18_215.50_490.20,1.0,6.0,3768.0,18.0,215.5,490.2,2.2747,50,3218.0,4304.0,638.0,618.0,521.0,6.20661,25905.7,99944.3,151755.8,2071.4,1,,0.27,481.6,1.9203,16.0797,25.9057,99.9443,151.7557,28.6
4,1.00_6.00_3769.0_21_220.70_457.30,1.0,6.0,3769.0,21.0,220.7,457.3,2.072,49,3219.0,4306.0,596.0,576.0,486.0,6.43,24111.5,99977.6,148200.5,2097.0,1,,0.26,448.7,2.2793,18.7207,24.1115,99.9776,148.2006,3.0
5,1.00_6.00_3878.0_17_193.60_472.60,1.0,6.0,3878.0,17.0,193.6,472.6,2.4411,57,3368.0,4374.0,615.0,596.0,502.0,6.16596,23912.2,93792.1,141616.6,2084.4,1,,0.26,464.0,1.5961,15.4039,23.9122,93.7921,141.6165,15.6
6,1.00_6.00_3858.0_22_228.10_441.30,1.0,6.0,3858.0,22.0,228.1,441.3,1.9347,48,3307.0,4396.0,575.0,556.0,469.0,6.54141,23654.4,96191.9,143500.7,2098.1,1,,0.25,432.7,2.4052,19.5948,23.6544,96.1919,143.5007,1.9
7,1.00_6.00_3875.0_22_228.30_431.00,1.0,6.0,3875.0,22.0,228.3,431.0,1.8879,49,3332.0,4406.0,561.0,543.0,458.0,6.54727,22907.0,95086.2,140900.2,2094.7,1,,0.27,422.4,2.3972,19.6028,22.907,95.0862,140.9002,5.3
8,1.00_6.00_3988.0_22_220.40_424.10,1.0,6.0,3988.0,22.0,220.4,424.1,1.9242,52,3458.0,4507.0,552.0,534.0,451.0,6.59245,22687.7,90271.0,135646.4,2082.2,1,,0.26,415.5,2.256,19.744,22.6877,90.271,135.6464,17.8
9,1.00_6.00_4063.0_17_181.70_448.00,1.0,6.0,4063.0,17.0,181.7,448.0,2.4656,64,3581.0,4532.0,583.0,565.0,476.0,6.22108,22516.2,86403.3,131435.7,2071.8,1,,0.29,439.4,1.4367,15.5633,22.5162,86.4033,131.4357,28.2
10,1.00_6.00_4098.0_30_214.30_397.90,1.0,6.0,4098.0,30.0,214.3,397.9,1.8567,55,3557.0,4628.0,518.0,501.0,423.0,7.34768,22344.0,87086.6,131774.6,2086.2,1,,0.26,389.3,2.8649,27.1351,22.344,87.0866,131.7746,13.8
11,1.00_6.00_4207.0_19_178.20_397.10,1.0,6.0,4207.0,19.0,178.2,397.1,2.2284,68,3753.0,4650.0,517.0,500.0,422.0,6.4266,19410.0,81395.8,120215.8,2097.2,1,,0.32,388.5,1.5192,17.4808,19.41,81.3958,120.2158,2.8
12,1.00_6.00_4360.0_19_159.60_394.60,1.0,6.0,4360.0,19.0,159.6,394.6,2.4724,78,3925.0,4784.0,514.0,497.0,419.0,6.47873,19314.0,76827.5,115455.4,2087.6,1,,0.36,386.0,1.3198,17.6802,19.314,76.8275,115.4555,12.4
13,1.00_6.00_4370.0_19_159.60_390.60,1.0,6.0,4370.0,19.0,159.6,390.6,2.4474,79,3938.0,4791.0,509.0,492.0,415.0,6.48217,19056.2,76503.5,114616.0,2083.8,1,,0.32,382.0,1.3169,17.6831,19.0562,76.5035,114.6159,16.2
14,1.00_6.00_4425.0_17_164.40_387.90,1.0,6.0,4425.0,17.0,164.4,387.9,2.3595,77,4001.0,4837.0,505.0,489.0,412.0,6.32918,18607.0,75077.5,112291.6,2085.4,1,,0.29,379.3,1.2019,15.7981,18.607,75.0775,112.2915,14.6
15,1.00_6.00_4539.0_18_179.80_357.60,1.0,6.0,4539.0,18.0,179.8,357.6,1.9889,72,4116.0,4951.0,466.0,451.0,380.0,6.45056,17310.9,72667.4,107289.3,2095.5,1,,0.3,349.0,1.3516,16.6484,17.3109,72.6674,107.2892,4.5
