rank,key,z1,z2,D_pw_mm,alpha,D_we_mm,slenderness,Z,bore_mm,D_mm,T_mm,B_mm,C_mm,L_eff_m,mass_brg_kg,mass_shaft_kg,mass_total_kg,sigma_max_MPa,feasible,warn,t_s,L_w_mm,L_we_mm,taper_2beta_deg,cone_angle_deg,mass_brg_t,mass_shaft_t,mass_total_t,sigma_margin
1,1.00_6.00_3491.0_16_223.10_538.00,1.0,6.0,3491.0,16.0,223.1,2.4115,45,2916.0,4051.0,701.0,678.0,572.0,5.9864,27594.9,117185.0,172374.8,2098.8,1,,0.24,538.0,529.4,1.9013,14.0987,27.5949,117.185,172.3748,1.2
2,1.00_6.00_3493.0_16_223.40_536.50,1.0,6.0,3493.0,16.0,223.4,2.4015,45,2919.0,4052.0,699.0,676.0,570.0,5.98698,27473.0,116942.1,171888.1,2099.0,1,,0.23,536.5,527.9,1.9027,14.0973,27.473,116.9421,171.8881,1.0
3,1.00_6.00_3504.0_16_220.10_531.00,1.0,6.0,3504.0,16.0,220.1,2.4125,46,2937.0,4056.0,692.0,669.0,564.0,5.99001,26976.7,115839.0,169792.4,2099.4,1,,0.31,531.0,522.4,1.8706,14.1294,26.9767,115.839,169.7924,0.6
4,1.00_6.00_3522.0_15_221.10_529.30,1.0,6.0,3522.0,15.0,221.1,2.3939,46,2963.0,4066.0,689.0,667.0,563.0,5.92774,26558.6,114073.2,167190.5,2100.0,1,,0.24,529.3,520.7,1.7551,13.2449,26.5586,114.0732,167.1904,0.0
5,1.00_6.00_3557.0_16_222.00_519.60,1.0,6.0,3557.0,16.0,222.0,2.3405,46,2995.0,4104.0,677.0,655.0,552.0,6.00422,26453.0,111881.4,164787.5,2099.5,1,,0.26,519.6,511.0,1.8594,14.1406,26.453,111.8814,164.7874,0.5
6,1.00_6.00_3583.0_15_218.20_522.50,1.0,6.0,3583.0,15.0,218.2,2.3946,47,3031.0,4120.0,680.0,658.0,555.0,5.94394,26273.8,109729.7,162277.3,2099.8,1,,0.24,522.5,513.9,1.7055,13.2945,26.2738,109.7297,162.2773,0.2
7,1.00_6.00_3620.0_16_227.00_497.20,1.0,6.0,3620.0,16.0,227.0,2.1903,46,3068.0,4157.0,647.0,627.0,528.0,6.02038,25158.0,107693.3,158009.3,2100.0,0,,0.26,497.2,488.6,1.8676,14.1324,25.158,107.6933,158.0093,0.0
8,1.00_6.00_3646.0_16_224.20_492.90,1.0,6.0,3646.0,16.0,224.2,2.1985,47,3100.0,4178.0,642.0,621.0,524.0,6.02872,24898.8,105770.3,155567.9,2099.8,1,,0.29,492.9,484.3,1.8335,14.1665,24.8988,105.7703,155.5679,0.2
9,1.00_6.00_3671.0_15_220.90_491.00,1.0,6.0,3671.0,15.0,220.9,2.2227,48,3137.0,4191.0,639.0,619.0,522.0,5.96552,24383.6,103931.3,152698.5,2099.9,1,,0.24,491.0,482.4,1.6864,13.3136,24.3836,103.9313,152.6985,0.1
10,1.00_6.00_3698.0_15_222.00_488.20,1.0,6.0,3698.0,15.0,222.0,2.1991,48,3165.0,4217.0,636.0,615.0,519.0,5.97377,24342.8,102545.3,151230.8,2096.8,1,,0.26,488.2,479.6,1.6826,13.3174,24.3428,102.5453,151.2309,3.2
11,1.00_6.00_3718.0_16_218.70_478.20,1.0,6.0,3718.0,16.0,218.7,2.1866,49,3187.0,4235.0,623.0,603.0,508.0,6.04813,23929.1,101556.3,149414.6,2099.3,1,,0.25,478.2,469.6,1.7582,14.2418,23.9291,101.5563,149.4145,0.7
12,1.00_6.00_3756.0_15_197.00_485.70,1.0,6.0,3756.0,15.0,197.0,2.4655,55,3248.0,4250.0,633.0,612.0,516.0,5.98857,23698.1,98682.1,146078.2,2100.0,1,,0.26,485.7,477.1,1.4804,13.5196,23.6981,98.6821,146.0783,0.0
13,1.00_6.00_3786.0_16_213.10_469.50,1.0,6.0,3786.0,16.0,213.1,2.2032,51,3266.0,4292.0,611.0,592.0,499.0,6.0664,23414.5,97897.9,144726.9,2099.9,1,,0.27,469.5,460.9,1.6863,14.3137,23.4145,97.8979,144.7269,0.1
14,1.00_6.00_3820.0_15_196.90_471.50,1.0,6.0,3820.0,15.0,196.9,2.3946,56,3322.0,4305.0,614.0,594.0,501.0,6.00467,22893.6,95486.1,141273.4,2099.0,1,,0.28,471.5,462.9,1.456,13.544,22.8936,95.4861,141.2733,1.0
