gen,n_front,hv,f1_min,f2_min,budget,masta,cache_hit,geom_out,edge,t_s
1,6,28.808,4.303,18.208,100,90,0,11,0,28.3
2,9,30.8218,4.233,17.6104,200,167,9,25,0,52.0
3,12,31.5829,4.233,17.3109,300,256,14,31,0,78.1
4,18,32.2119,4.201,17.3109,400,343,22,36,0,103.0
5,19,32.4614,4.201,17.3109,500,421,32,48,0,125.2
6,19,32.6117,4.201,17.3109,600,502,42,57,0,148.4
7,23,32.7766,4.201,17.3109,700,586,53,62,0,172.2
8,24,32.7766,4.201,17.3109,800,672,61,68,0,196.6
9,22,32.8441,4.201,17.3109,900,757,70,74,0,221.4
10,20,32.9887,4.201,17.3109,1000,850,75,76,0,248.4
11,22,33.0496,4.201,17.3109,1100,945,78,78,0,276.1
12,33,34.0979,4.153,17.2386,1200,1031,89,81,0,300.9
13,32,34.1244,4.153,17.2386,1300,1116,100,85,0,325.8
14,39,34.166,4.153,17.2386,1400,1197,117,87,0,349.4
15,41,34.2452,4.153,17.1678,1500,1282,129,90,0,373.9
16,40,34.2509,4.153,17.1678,1600,1377,132,92,0,401.1
17,45,34.279,4.153,17.1678,1700,1460,148,93,0,424.3
18,43,34.2986,4.153,17.1678,1800,1545,160,96,0,448.4
19,41,34.3114,4.153,17.1678,1900,1633,170,98,0,473.2
20,44,34.3632,4.153,17.1678,2000,1712,187,102,0,495.5
21,50,34.367,4.153,17.1678,2100,1801,196,104,0,520.5
22,46,34.4184,4.153,17.133,2200,1890,206,105,0,545.5
23,49,34.6584,4.138,17.133,2300,1979,217,105,0,570.9
24,51,34.6792,4.138,17.133,2400,2066,230,105,0,595.3
25,55,34.6961,4.138,17.133,2500,2155,239,107,0,620.3
26,52,34.7471,4.138,17.133,2600,2238,256,107,0,643.3
27,54,34.8597,4.131,17.133,2700,2325,268,108,0,667.7
28,59,34.8847,4.13,17.133,2800,2411,282,108,0,691.8
29,46,34.9404,4.13,17.133,2900,2499,294,108,0,716.4
30,48,34.943,4.13,17.133,3000,2585,307,109,0,740.5
31,48,34.9609,4.13,17.133,3100,2673,319,109,0,765.5
32,51,35.6185,4.09,17.133,3200,2760,331,110,0,789.7
33,58,35.6436,4.09,17.133,3300,2848,343,110,0,814.4
34,61,35.6466,4.09,17.133,3400,2940,350,111,0,840.7
35,53,35.718,4.09,17.133,3500,3032,358,111,0,866.6
36,58,35.7532,4.088,17.133,3600,3119,371,111,0,891.3
37,66,35.7573,4.088,17.133,3700,3208,382,111,0,916.5
38,69,35.7733,4.088,17.133,3800,3298,392,111,0,941.7
39,77,35.7743,4.088,17.133,3900,3387,403,111,0,966.5
40,84,35.7843,4.088,17.133,4000,3473,416,112,0,990.7
41,93,35.7846,4.088,17.133,4100,3561,428,112,0,1015.4
42,77,35.7914,4.088,17.133,4200,3638,450,113,0,1037.0
43,83,35.7938,4.088,17.133,4300,3727,458,116,0,1062.1
44,80,36.0537,4.074,17.133,4400,3819,464,118,0,1087.8
45,86,36.0537,4.074,17.133,4500,3907,476,118,0,1112.5
46,89,36.0869,4.074,17.0867,4600,3992,491,118,0,1136.3
47,61,36.3834,4.059,17.0867,4700,4082,500,119,0,1161.6
48,71,36.3834,4.059,17.0867,4800,4164,518,119,0,1184.6
49,78,36.3999,4.059,17.0867,4900,4251,530,120,0,1208.8
50,85,36.4034,4.059,17.0867,5000,4335,545,121,0,1232.1
51,88,36.4035,4.059,17.0867,5100,4425,555,121,0,1257.3
52,81,36.4108,4.059,17.0867,5200,4507,572,122,0,1280.5
53,81,36.4137,4.059,17.0867,5300,4586,590,125,0,1302.7
54,89,36.4186,4.059,17.0867,5400,4675,601,125,0,1327.7
55,94,36.4289,4.059,17.0867,5500,4768,608,125,0,1354.1
56,100,36.4319,4.059,17.0867,5600,4854,619,128,0,1378.3
