load_case,bearing,detailed_result_type,has_converged,num_elements_in_contact,axial_to_radial_load_ratio,max_normal_stress_inner_Pa,max_normal_stress_outer_Pa,P_dynamic_equiv_load_N,L10_basic_life_cycles,L10_basic_life_time_h,L10m_modified_life_cycles,L10m_modified_life_time_h,a1_reliability_factor,aISO_systems_factor,basic_life_safety_factor,P0_static_equiv_load_N,s0_static_safety_factor,Cr_dyn_load_rating_inner_N,Cr_dyn_load_rating_outer_N,ref_basic_life_cycles,ref_basic_life_time_h,ref_modified_life_cycles,ref_modified_life_time_h
Mx_max,Main Bearing_UW,LoadedTaperRollerBearingResults,True,36,0.3931757066610957,1528313608.8004231,1482182072.0099905,7101093.2964860005,41246024.66950892,inf,4122906.617022625,inf,1.0,0.0999588845242213,inf,7101093.2964860005,12.5733022115808,958609.6180327319,1042135.5560400855,23152865.936267182,inf,2314515.6811537817,inf
Mx_max,Main Bearing_DW,LoadedTaperRollerBearingResults,True,87,7.987931692805933,933023022.3765135,905226818.6435642,3383206.204013536,488320096.0650663,inf,48805002.725239985,inf,1.0,0.09994469430710662,inf,1958630.2562757493,45.58501624452542,958609.6180327319,1042135.5560400855,408805315.0098444,inf,40863002.43008978,inf
Mx_min,Main Bearing_UW,LoadedTaperRollerBearingResults,True,36,0.39312318324232376,1504750400.4963741,1459329302.1305482,6795434.99045242,47761206.11847209,inf,4774122.029577147,inf,1.0,0.09995815469431185,inf,6795434.99045242,13.138848679266777,958609.6180327319,1042135.5560400855,26673636.121047825,inf,2666463.863835814,inf
Mx_min,Main Bearing_DW,LoadedTaperRollerBearingResults,True,87,8.222613372397456,917823963.6644322,890478491.4241163,3233329.481623467,567936287.8960079,inf,56761644.373797126,inf,1.0,0.09994368309177398,inf,1869300.3528468849,47.7634275911691,958609.6180327319,1042135.5560400855,469659755.5530902,inf,46945661.29327645,inf
My_max,Main Bearing_UW,LoadedTaperRollerBearingResults,True,36,0.3929013542129163,1397193151.53953,1355016669.8624399,5528574.326633949,95007009.96091813,inf,9496383.466035247,inf,1.0,0.09995455566848865,inf,5528574.326633949,16.149586995551775,958609.6180327319,1042135.5560400855,51668471.28548859,inf,5164994.639716942,inf
My_max,Main Bearing_DW,LoadedTaperRollerBearingResults,True,87,6.147730565034318,860985153.145264,835322133.5537391,2664724.9926622985,1082160078.2012024,inf,108150163.48295191,inf,1.0,0.09993915471611392,inf,1564531.4511427507,57.067687571339576,958609.6180327319,1042135.5560400855,886170643.5948701,inf,88576313.61537628,inf
My_min,Main Bearing_UW,LoadedTaperRollerBearingResults,True,36,0.39287374261618835,1386400852.9886782,1344549753.089107,5411248.575172935,102048794.22423802,inf,10200201.931848085,inf,1.0,0.09995416417595843,inf,5411248.575172935,16.49973953497334,958609.6180327319,1042135.5560400855,55326610.239090525,inf,5530664.774881168,inf
My_min,Main Bearing_DW,LoadedTaperRollerBearingResults,True,87,8.227906155436033,846604313.4543289,821368852.5854093,2573020.842342941,1216153736.9638052,inf,121540332.98029928,inf,1.0,0.09993829668585438,inf,1487508.2406448943,60.0226537304027,958609.6180327319,1042135.5560400855,957641346.5296935,inf,95719762.01350617,inf
Mz_max,Main Bearing_UW,LoadedTaperRollerBearingResults,True,36,0.39302178244091013,1456411759.5827682,1412448512.06824,6211801.025451892,64427958.78585686,inf,6440001.293596845,inf,1.0,0.09995662465424165,inf,6211801.025451892,14.373318089797289,958609.6180327319,1042135.5560400855,35586288.23425269,inf,3557395.9731977037,inf
Mz_max,Main Bearing_DW,LoadedTaperRollerBearingResults,True,87,7.446817941897974,891566570.1528596,864997263.6640425,2967241.386820408,756176598.2928653,inf,75573586.47232954,inf,1.0,0.09994171552378574,inf,1723778.275526432,51.79563596836846,958609.6180327319,1042135.5560400855,620244693.7278147,inf,61997047.7973659,inf
Mz_min,Main Bearing_UW,LoadedTaperRollerBearingResults,True,36,0.3928952733686375,1391068645.510168,1349076803.1146667,5459779.603075521,99056380.15181498,inf,9901113.86680822,inf,1.0,0.09995432754188732,inf,5459779.603075521,16.353076230230027,958609.6180327319,1042135.5560400855,53776183.79968068,inf,5375683.1636350285,inf
Mz_min,Main Bearing_DW,LoadedTaperRollerBearingResults,True,87,7.105225411913213,852973955.8969256,827547671.7761893,2612717.237789391,1155645920.3249722,inf,115493720.0557457,inf,1.0,0.0999386732774243,inf,1521528.6107315114,58.68058702256246,958609.6180327319,1042135.5560400855,926984009.6861802,inf,92655582.32280247,inf
Myz_max,Main Bearing_UW,LoadedTaperRollerBearingResults,True,36,0.3928918668749448,1392850923.4285648,1350805176.0962932,5479754.484370649,97857884.6052234,inf,9781325.572661007,inf,1.0,0.0999543941923603,inf,5479754.484370649,16.293465757271665,958609.6180327319,1042135.5560400855,53150047.248312145,inf,5313094.113947828,inf
Myz_max,Main Bearing_DW,LoadedTaperRollerBearingResults,True,87,8.346122543059279,850062194.5025684,824724206.5466224,2604232.742007171,1168243867.0243642,inf,116752648.89160115,inf,1.0,0.09993859346249512,inf,1504556.3115705617,59.34253930060478,958609.6180327319,1042135.5560400855,921073825.7047386,inf,92064860.5014501,inf
Myz_min,Main Bearing_UW,LoadedTaperRollerBearingResults,True,36,0.39313053767926187,1504001170.4372249,1458602692.140266,6783962.387051499,48030973.376888484,inf,4801086.108344107,inf,1.0,0.0999581264087871,inf,6783962.387051499,13.161068260013517,958609.6180327319,1042135.5560400855,26820079.77427211,inf,2681102.827763301,inf
