load_case,bearing,detailed_result_type,has_converged,num_elements_in_contact,axial_to_radial_load_ratio,max_normal_stress_inner_Pa,max_normal_stress_outer_Pa,P_dynamic_equiv_load_N,L10_basic_life_cycles,L10_basic_life_time_h,L10m_modified_life_cycles,L10m_modified_life_time_h,a1_reliability_factor,aISO_systems_factor,basic_life_safety_factor,P0_static_equiv_load_N,s0_static_safety_factor,Cr_dyn_load_rating_inner_N,Cr_dyn_load_rating_outer_N,ref_basic_life_cycles,ref_basic_life_time_h,ref_modified_life_cycles,ref_modified_life_time_h
Mx_max,Main Bearing_UW,LoadedTaperRollerBearingResults,True,87,0.47878073595168086,1671002248.6785355,1619630515.8860793,15000032.234379517,3709875.0225173444,inf,370872.9195424356,inf,1.0,0.09996911413225422,inf,15000032.234379517,6.148567912720583,983109.5400849505,1068770.2146232375,5157645.203295,inf,515611.9084488179,inf
Mx_max,Main Bearing_DW,LoadedTaperRollerBearingResults,True,38,0.40205264582875,1919051670.3549032,1859745823.167162,17862651.932210706,2072590.3325588044,inf,207199.33841525242,inf,1.0,0.09997119795470902,inf,17862651.932210706,5.163215251357472,983109.5400849505,1068770.2146232375,2029462.7983285633,inf,202891.17860374952,inf
Mx_min,Main Bearing_UW,LoadedTaperRollerBearingResults,True,37,0.39703726632765746,1855115839.2535088,1798201612.038143,15996599.621056024,2993925.6011177935,inf,299302.43859185564,inf,1.0,0.09996989854394175,inf,15996599.621056024,5.765520114955018,983109.5400849505,1068770.2146232375,2815549.178079798,inf,281476.05724311905,inf
Mx_min,Main Bearing_DW,LoadedTaperRollerBearingResults,True,87,0.7006449891979325,1413950981.1760974,1370816596.589658,11004085.84785119,10418855.649370689,inf,1041521.3268924267,inf,1.0,0.0999650404941867,inf,9064856.359404296,10.174316418196527,983109.5400849505,1068770.2146232375,18298699.871167086,inf,1829261.5689383403,inf
My_max,Main Bearing_UW,LoadedTaperRollerBearingResults,True,78,0.4766891935428379,2313342990.635617,2239659441.8248787,33189890.757236194,262813.20191381505,inf,26275.41190177059,inf,1.0,0.09997751905319865,inf,33189890.757236194,2.7788195375717604,983109.5400849505,1068770.2146232375,301718.40754550835,inf,30165.00565337277,inf
My_max,Main Bearing_DW,LoadedTaperRollerBearingResults,True,39,0.4051557694625942,2643452195.588399,2558481002.5021176,39049825.89172457,152851.45635901194,inf,15281.92573670165,inf,1.0,0.09997893445521396,inf,39049825.89172457,2.361821462195697,983109.5400849505,1068770.2146232375,116127.10635022103,inf,11610.30268815127,inf
My_min,Main Bearing_UW,LoadedTaperRollerBearingResults,True,39,0.41066274629312294,3121256692.42796,3016618992.778738,58133791.55288389,40573.05941988593,inf,4056.576998103172,inf,1.0,0.09998203379543363,inf,58133791.55288389,1.5864906523803892,983109.5400849505,1068770.2146232375,24387.980673422106,inf,2438.3665178050114,inf
My_min,Main Bearing_DW,LoadedTaperRollerBearingResults,True,65,0.4550118184420585,2844023553.249331,2749952350.108033,52467609.6894315,57107.829835700715,inf,5709.714014514379,inf,1.0,0.09998128156754044,inf,52467609.6894315,1.7578219673433657,983109.5400849505,1068770.2146232375,49237.97950233004,inf,4922.860871590819,inf
Mz_max,Main Bearing_UW,LoadedTaperRollerBearingResults,True,43,0.42231540941823964,2915749809.562585,2819403124.923323,51983183.3650285,58901.13755150893,inf,5889.007120270902,inf,1.0,0.09998121199477644,inf,51983183.3650285,1.7742029424871055,983109.5400849505,1068770.2146232375,43496.002571175566,inf,4348.782629361956,inf
Mz_max,Main Bearing_DW,LoadedTaperRollerBearingResults,True,47,0.4280723667730739,2878274791.3602376,2783292676.156774,51284084.35122098,61620.407750520266,inf,6160.876764008772,inf,1.0,0.09998110997499453,inf,51284084.35122098,1.7983886824311512,983109.5400849505,1068770.2146232375,47954.637789359454,inf,4794.553352935586,inf
Mz_min,Main Bearing_UW,LoadedTaperRollerBearingResults,True,41,0.41823821911983006,3001752816.2988005,2901719738.8492193,54767428.21574673,49498.50645618937,inf,4948.939873114446,inf,1.0,0.09998160000028895,inf,54767428.21574673,1.6840067151366207,983109.5400849505,1068770.2146232375,33846.706449991885,inf,3384.0506870983404,inf
Mz_min,Main Bearing_DW,LoadedTaperRollerBearingResults,True,52,0.4344074367795042,2894749550.4374485,2798992369.5258484,52728912.31666557,56169.92935503913,inf,5615.943609512311,inf,1.0,0.099981318723316,inf,52728912.31666557,1.7491109304928787,983109.5400849505,1068770.2146232375,44452.12115800288,inf,4444.37474147617,inf
Myz_max,Main Bearing_UW,LoadedTaperRollerBearingResults,True,40,0.4114810900249844,3199138427.2593527,3090731775.2202415,61562987.966709055,33517.19143496932,inf,3351.13061360721,inf,1.0,0.09998244095449155,inf,61562987.966709055,1.4981195671651633,983109.5400849505,1068770.2146232375,19316.011569740116,inf,1931.2677923381302,inf
Myz_max,Main Bearing_DW,LoadedTaperRollerBearingResults,True,63,0.4528575582481169,2930652408.7967243,2832873222.5742817,55938130.95273444,46128.93375251157,inf,4612.051752699204,inf,1.0,0.09998175499662602,inf,55938130.95273444,1.64876293353473,983109.5400849505,1068770.2146232375,37630.735478900584,inf,3762.376765037048,inf
Myz_min,Main Bearing_UW,LoadedTaperRollerBearingResults,True,37,0.3942106708004825,1338828203.1029024,1298445130.0260916,6781266.909151346,52315509.47651685,inf,5229331.3461542865,inf,1.0,0.09995757278253412,inf,6781266.909151346,13.60051419914136,983109.5400849505,1068770.2146232375,51355490.868876524,inf,5133662.826319446,inf
Myz_min,Main Bearing_DW,LoadedTaperRollerBearingResults,True,87,7.942445985389212,812837446.1821434,788600739.4143202,3240101.068549073,613486102.9888994,inf,61313638.73321431,inf,1.0,0.0999429953416952,inf,1876297.2582539718,49.15464033236701,983109.5400849505,1068770.2146232375,973711548.6125301,inf,97325247.6448803,inf
Fx_max,Main Bearing_UW,LoadedTaperRollerBearingResults,True,37,0.3988475317143596,2125265946.1529627,2059556439.7403715,22540307.43341127,954553.9296448046,inf,95430.34200290266,inf,1.0,0.09997375636849862,inf,22540307.43341127,4.091723999707769,983109.5400849505,1068770.2146232375,846225.8040570037,inf,84601.41906472064,inf
Fx_max,Main Bearing_DW,LoadedTaperRollerBearingResults,True,87,0.5731873059883061,1699396624.6374762,1646937201.673171,16717504.707547493,2584808.6994160027,inf,258404.42307917506,inf,1.0,0.09997042455697303,inf,15684482.004495438,5.880252650973492,983109.5400849505,1068770.2146232375,3907545.73548193,inf,390642.0280596953,inf
Fx_min,Main Bearing_UW,LoadedTaperRollerBearingResults,True,36,0.3959902963213286,1639574441.480287,1589566083.873842,11642888.792563748,8632384.101583872,inf,862943.3604374373,inf,1.0,0.09996582059863442,inf,11642888.792563748,7.921463352375771,983109.5400849505,1068770.2146232375,8400795.718666207,inf,839818.7712402015,inf
Fx_min,Main Bearing_DW,LoadedTaperRollerBearingResults,True,87,0.7996252135386575,1220462518.695565,1183229368.7869925,7662227.955893815,34819005.23620441,inf,3480493.672667153,inf,1.0,0.09995959531457765,inf,5828646.549291568,15.82335043069134,983109.5400849505,1068770.2146232375,64404518.22819413,inf,6438044.82504428,inf
Fy_max,Main Bearing_UW,LoadedTaperRollerBearingResults,True,36,0.39626912470356745,1689939425.6479192,1638388727.473504,12600293.51714904,6633321.509683179,inf,663112.481299324,inf,1.0,0.0999668839104703,inf,12600293.51714904,7.31956892595849,983109.5400849505,1068770.2146232375,6415810.435949409,inf,641386.8565928187,inf
