index,t_s,rpm,bearing,num_elem_contact,axial_radial_ratio,max_normal_stress_in_Pa,max_normal_stress_out_Pa,bearing_speed,P_dyn_equiv_N,L10_basic_cycles,L10_basic_time_h,L10m_mod_cycles,L10m_mod_time_h,aISO,P0_static_N,s0_static_SF
0,-1.37845e-12,5.09167,Main Bearing_UW,87,0.49576032145669274,1366665933.342795,1325258951.0142646,0.533198435550118,8989489.7411685,20443242.64726805,240902210.63739067,3590676.9253856833,42312368.14702072,0.17564126138597325,8989489.7411685,10.259616456728049
0,-1.37845e-12,5.09167,Main Bearing_DW,34,0.3864047329275024,1095620059.5257745,1062523610.313769,0.533198435550118,3725529.7358067725,385217912.506244,4539389777.887145,86764928.97021534,1022433845.5188416,0.22523596684722952,3725529.7358067725,24.75586652809469
1,0.1,5.0939,Main Bearing_UW,87,0.49941650510194685,1355045766.519879,1314032365.1032782,0.5334319606040349,8800483.921310874,21943778.34897126,258471250.11057848,3874195.6346189245,45633353.24155077,0.17655098283475643,8800483.921310874,10.479959705709277
1,0.1,5.0939,Main Bearing_DW,34,0.38580366823967455,1080879186.6368506,1048226637.2949806,0.5334319606040349,3573182.516357569,442740501.69568294,5214949273.001233,101188961.67260359,1191883959.315302,0.22855140039154512,3573182.516357569,25.811364648704384
2,0.2,5.09633,Main Bearing_UW,87,0.49802148999392726,1366051999.1619854,1324673307.1006417,0.5336864296089756,8983792.106643027,20486492.510248266,241191121.96715993,3600340.3053721874,42387447.10847439,0.17574215320514897,8983792.106643027,10.266123235185084
2,0.2,5.09633,Main Bearing_DW,34,0.3864776849335584,1105081998.5221848,1071701378.519251,0.5336864296089756,3816627.937605924,355413432.28117967,4184345585.327242,79450302.52477574,935382550.0873266,0.22354333097326468,3816627.937605924,24.16497452563666
3,0.3,5.09208,Main Bearing_UW,87,0.49983154400280005,1373744479.8011377,1332103271.056046,0.5332413706497171,9123530.604208425,19459132.559006725,229287040.5689627,3406256.3807067554,40135933.222259924,0.17504667129317428,9123530.604208425,10.108884475439568
3,0.3,5.09208,Main Bearing_DW,34,0.3869514327628456,1131202355.149023,1097036782.5499732,0.5332413706497171,4080404.5514208428,284439021.6352659,3351546185.0787797,62157598.31482275,732403241.6791105,0.2185269726969002,4080404.5514208428,22.602836489329288
4,0.4,5.08504,Main Bearing_UW,87,0.5067537511991365,1366961652.1778615,1325546783.4582067,0.5325041435736747,9022208.933646424,20197160.658464007,238312705.407989,3542312.913735401,41796873.73631752,0.17538667804035746,9022208.933646424,10.222409785050841
4,0.4,5.08504,Main Bearing_DW,34,0.38665321430466704,1138576801.306257,1104190741.1335623,0.5325041435736747,4150432.895845907,268754203.2749544,3171116096.726331,58353424.252794765,688530563.2143868,0.21712562461058563,4150432.895845907,22.22146922996644
1500,150.0,3.96703,Main Bearing_UW,42,0.41293406726648785,1567755104.6014376,1519943202.6967084,0.4154264101523439,11266845.367385251,9630721.135189632,145661431.37596086,1447469.4599359923,21892490.754080396,0.15029710025006254,11266845.367385251,8.185850952837233
1500,150.0,3.96703,Main Bearing_DW,53,0.43269351463422556,1198574197.8761768,1162011271.8994207,0.4154264101523439,5857088.673219213,85256452.34401776,1289475285.1985154,14526760.107664414,219712380.91465527,0.17038898181040396,5857088.673219213,15.746511967248217
3000,300.0,5.24514,Main Bearing_UW,87,0.4875493441132256,1629687972.5798721,1579978738.890325,0.5492697763683322,14167996.868973173,4487161.973040236,51329367.44918423,724114.7229842256,8283264.770635967,0.16137476813514895,14167996.868973173,6.509651134103096
3000,300.0,5.24514,Main Bearing_DW,35,0.39308445262306785,1497138289.8537624,1451474835.6190526,0.5492697763683322,9015410.189076468,20247975.942401063,231619853.14864117,3603528.1183738313,41221337.676864654,0.1779697945426596,9015410.189076468,10.230118757971695
4500,450.0,4.4779,Main Bearing_UW,60,0.4318249139357284,1522782199.9707825,1476343838.7583473,0.46892459145032445,11063582.840147534,10233258.551879814,137116843.4115967,1624638.6828312713,21768757.893181242,0.15876064057160277,11063582.840147534,8.33624316992509
4500,450.0,4.4779,Main Bearing_DW,40,0.4058537187307036,1238087070.687379,1200322869.7490466,0.46892459145032445,5846492.46234352,85772606.31536293,1149278987.677656,15645108.9262962,209630973.35308337,0.18240216309591106,5846492.46234352,15.77505102078096
6000,600.0,5.1446,Main Bearing_UW,87,0.4815544921191365,1503125053.3798144,1457285814.1254852,0.5387412521886016,11455150.2613728,9113054.188148234,106282947.4184376,1523834.298712634,17772044.070045885,0.16721444504241184,11455150.2613728,8.051288266124194
6000,600.0,5.1446,Main Bearing_DW,36,0.3923297839305942,1338010849.0107853,1297203094.5516083,0.5387412521886016,6677798.047415499,55066691.5504854,642227091.1303356,10468324.656381402,122089079.69188745,0.19010266209263713,6677798.047415499,13.81124679590685
