DLC	Detatil Scale Factor	30 year Hours	1 year Hours
DLC1.2-a-s1	3.780.E+04	6299.681351	209.9893784
DLC1.2-a-s2	3.780.E+04	6299.681351	209.9893784
DLC1.2-a-s3	3.780.E+04	6299.681351	209.9893784
DLC1.2-a-s4	3.780.E+04	6299.681351	209.9893784
DLC1.2-a-s5	3.780.E+04	6299.681351	209.9893784
DLC1.2-a-s6	3.780.E+04	6299.681351	209.9893784
DLC1.2-b-s1	4.570.E+04	7615.056059	253.835202
DLC1.2-b-s2	4.570.E+04	7615.056059	253.835202
DLC1.2-b-s3	4.570.E+04	7615.056059	253.835202
DLC1.2-b-s4	4.570.E+04	7615.056059	253.835202
DLC1.2-b-s5	4.570.E+04	7615.056059	253.835202
DLC1.2-b-s6	4.570.E+04	7615.056059	253.835202
DLC1.2-c-s1	4.504.E+04	7505.501011	250.183367
DLC1.2-c-s2	4.504.E+04	7505.501011	250.183367
DLC1.2-c-s3	4.504.E+04	7505.501011	250.183367
DLC1.2-c-s4	4.504.E+04	7505.501011	250.183367
DLC1.2-c-s5	4.504.E+04	7505.501011	250.183367
DLC1.2-c-s6	4.504.E+04	7505.501011	250.183367
DLC1.2-d-s1	3.818.E+04	6361.527539	212.050918
DLC1.2-d-s2	3.818.E+04	6361.527539	212.050918
DLC1.2-d-s3	3.818.E+04	6361.527539	212.050918
DLC1.2-d-s4	3.818.E+04	6361.527539	212.050918
DLC1.2-d-s5	3.818.E+04	6361.527539	212.050918
DLC1.2-d-s6	3.818.E+04	6361.527539	212.050918
DLC1.2-e-s1	2.849.E+04	4748.072185	158.2690728
DLC1.2-e-s2	2.849.E+04	4748.072185	158.2690728
DLC1.2-e-s3	2.849.E+04	4748.072185	158.2690728
DLC1.2-e-s4	2.849.E+04	4748.072185	158.2690728
DLC1.2-e-s5	2.849.E+04	4748.072185	158.2690728
DLC1.2-e-s6	2.849.E+04	4748.072185	158.2690728
DLC1.2-f-s1	1.897.E+04	3160.389315	105.3463105
DLC1.2-f-s2	1.897.E+04	3160.389315	105.3463105
DLC1.2-f-s3	1.897.E+04	3160.389315	105.3463105
DLC1.2-f-s4	1.897.E+04	3160.389315	105.3463105
DLC1.2-f-s5	1.897.E+04	3160.389315	105.3463105
DLC1.2-f-s6	1.897.E+04	3160.389315	105.3463105
DLC1.2-g-s1	1.134.E+04	1890.207707	63.00692357
DLC1.2-g-s2	1.134.E+04	1890.207707	63.00692357
DLC1.2-g-s3	1.134.E+04	1890.207707	63.00692357
DLC1.2-g-s4	1.134.E+04	1890.207707	63.00692357
DLC1.2-g-s5	1.134.E+04	1890.207707	63.00692357
DLC1.2-g-s6	1.134.E+04	1890.207707	63.00692357
DLC1.2-h-s1	6.126.E+03	1020.793897	34.02646323
DLC1.2-h-s2	6.126.E+03	1020.793897	34.02646323
DLC1.2-h-s3	6.126.E+03	1020.793897	34.02646323
DLC1.2-h-s4	6.126.E+03	1020.793897	34.02646323
DLC1.2-h-s5	6.126.E+03	1020.793897	34.02646323
DLC1.2-h-s6	6.126.E+03	1020.793897	34.02646323
DLC1.2-i-s1	2.997.E+03	499.4234134	16.64744711
DLC1.2-i-s2	2.997.E+03	499.4234134	16.64744711
DLC1.2-i-s3	2.997.E+03	499.4234134	16.64744711
DLC1.2-i-s4	2.997.E+03	499.4234134	16.64744711
DLC1.2-i-s5	2.997.E+03	499.4234134	16.64744711
DLC1.2-i-s6	2.997.E+03	499.4234134	16.64744711
DLC1.2-j-s1	1.332.E+03	221.8862521	7.396208402
DLC1.2-j-s2	1.332.E+03	221.8862521	7.396208402
DLC1.2-j-s3	1.332.E+03	221.8862521	7.396208402
DLC1.2-j-s4	1.332.E+03	221.8862521	7.396208402
DLC1.2-j-s5	1.332.E+03	221.8862521	7.396208402
DLC1.2-j-s6	1.332.E+03	221.8862521	7.396208402
DLC1.2-k-s1	5.382.E+02	89.6770263	2.98923421
DLC1.2-k-s2	5.382.E+02	89.6770263	2.98923421
DLC1.2-k-s3	5.382.E+02	89.6770263	2.98923421
DLC1.2-k-s4	5.382.E+02	89.6770263	2.98923421
DLC1.2-k-s5	5.382.E+02	89.6770263	2.98923421
DLC1.2-k-s6	5.382.E+02	89.6770263	2.98923421
DLC6.4-a-s1	2.434.E+04	4055.830554	135.1943518
DLC6.4-a-s2	2.434.E+04	4055.830554	135.1943518
DLC6.4-a-s3	2.434.E+04	4055.830554	135.1943518
DLC6.4-a-s4	2.434.E+04	4055.830554	135.1943518
DLC6.4-a-s5	2.434.E+04	4055.830554	135.1943518
DLC6.4-a-s6	2.434.E+04	4055.830554	135.1943518
DLC6.4-b-s1	2.924.E+02	48.72174546	1.624058182
DLC6.4-b-s2	2.924.E+02	48.72174546	1.624058182
DLC6.4-b-s3	2.924.E+02	48.72174546	1.624058182
DLC6.4-b-s4	2.924.E+02	48.72174546	1.624058182
DLC6.4-b-s5	2.924.E+02	48.72174546	1.624058182
DLC6.4-b-s6	2.924.E+02	48.72174546	1.624058182
DLC2.4.1-a-s1	5.000.E+01	0.83 	0.03 
DLC2.4.1-a-s2	5.000.E+01	0.83 	0.03 
DLC2.4.1-a-s3	5.000.E+01	0.83 	0.03 
DLC2.4.1-a-s4	5.000.E+01	0.83 	0.03 
DLC2.4.1-a-s5	5.000.E+01	0.83 	0.03 
DLC2.4.1-a-s6	5.000.E+01	0.83 	0.03 
DLC2.4.1-b-s1	5.000.E+01	0.83 	0.03 
DLC2.4.1-b-s2	5.000.E+01	0.83 	0.03 
DLC2.4.1-b-s3	5.000.E+01	0.83 	0.03 
DLC2.4.1-b-s4	5.000.E+01	0.83 	0.03 
DLC2.4.1-b-s5	5.000.E+01	0.83 	0.03 
DLC2.4.1-b-s6	5.000.E+01	0.83 	0.03 
DLC2.4.2-a-s1	2.500.E+01	2.08 	0.07 
DLC2.4.2-a-s2	2.500.E+01	2.08 	0.07 
DLC2.4.2-a-s3	2.500.E+01	2.08 	0.07 
DLC2.4.2-a-s4	2.500.E+01	2.08 	0.07 
DLC2.4.2-a-s5	2.500.E+01	2.08 	0.07 
DLC2.4.2-a-s6	2.500.E+01	2.08 	0.07 
DLC2.4.2-b-s1	2.500.E+01	2.08 	0.07 
DLC2.4.2-b-s2	2.500.E+01	2.08 	0.07 
DLC2.4.2-b-s3	2.500.E+01	2.08 	0.07 
DLC2.4.2-b-s4	2.500.E+01	2.08 	0.07 
DLC2.4.2-b-s5	2.500.E+01	2.08 	0.07 
DLC2.4.2-b-s6	2.500.E+01	2.08 	0.07 
DLC4.1-a-y1	1.000.E+04	5.55E+02	1.85E+01
DLC4.1-a-y2	1.000.E+04	5.55E+02	1.85E+01
DLC4.1-a-y3	1.000.E+04	5.55E+02	1.85E+01
DLC4.1-b-y1	5.000.E+02	2.78E+01	9.25E-01
DLC4.1-b-y2	5.000.E+02	2.78E+01	9.25E-01
DLC4.1-b-y3	5.000.E+02	2.78E+01	9.25E-01
DLC4.1-c-y1	5.000.E+02	2.78E+01	9.25E-01
DLC4.1-c-y2	5.000.E+02	2.78E+01	9.25E-01
DLC4.1-c-y3	5.000.E+02	2.78E+01	9.25E-01
